Depth,GR,MUD_VOLUME,TVD
1652.7487,71.4957,0.0847,1652.7487
1652.8986,71.0332,0.0804,1652.8986
1653.0485,70.9359,0.0795,1653.0485
1653.1984,70.0758,0.0718,1653.1984
1653.3483,68.682,0.0596,1653.3483
1653.4982,67.3338,0.0483,1653.4982
1653.6481,66.3348,0.0401,1653.6481
1653.7979999999998,66.3198,0.04,1653.7979999999998
1653.9479,66.7965,0.0439,1653.9479
1654.0978,67.2069,0.0472,1654.0978
1654.2477,67.4409,0.0492,1654.2477
1654.3976,67.2454,0.0475,1654.3976
1654.5475,67.0557,0.046,1654.5475
1654.6974,67.5763,0.0503,1654.6974
1654.8473,68.37100000000001,0.057,1654.8473
1654.9972,68.6786,0.0596,1654.9972
1655.1471,68.8437,0.061,1655.1471
1655.297,69.0929,0.0632,1655.297
1655.4469,69.1395,0.0636,1655.4469
1655.5968,68.3492,0.0568,1655.5968
1655.7467,67.5814,0.0503,1655.7467
1655.8966,68.622,0.0591,1655.8966
1656.0465,71.1345,0.0814,1656.0465
1656.1964,74.8136,0.1165,1656.1964
1656.3463,79.50399999999998,0.1662,1656.3463
1656.4962,83.55,0.2138,1656.4962
1656.6461,87.4232,0.2639,1656.6461
1656.796,89.5409,0.2933,1656.796
1656.9459,89.0773,0.2867,1656.9459
1657.0958,83.3757,0.2116,1657.0958
1657.2457,75.8828,0.1274,1657.2457
1657.3956,71.5254,0.0849,1657.3956
1657.5455,69.0843,0.0631,1657.5455
1657.6954,68.1842,0.0554,1657.6954
1657.8453,67.6362,0.0508,1657.8453
1657.9952,66.6492,0.0427,1657.9952
1658.1451,65.8173,0.036000000000000004,1658.1451
1658.295,65.9554,0.0371,1658.295
1658.4449,66.4588,0.0411,1658.4449
1658.5948,66.768,0.0436,1658.5948
1658.7447,67.6476,0.0509,1658.7448
1658.8946,69.8,0.0694,1658.8947
1659.0445,71.6238,0.0858,1659.0446
1659.1944,71.542,0.0851,1659.1945
1659.3443,70.0487,0.0716,1659.3444
1659.4942,68.4613,0.0578,1659.4941
1659.6441,67.4925,0.0496,1659.644
1659.794,67.0117,0.0456,1659.7939
1659.9439,66.7175,0.0432,1659.9438
1660.0938,66.2728,0.0396,1660.0938
1660.2437,65.5564,0.0339,1660.2437
1660.3936,65.4892,0.0334,1660.3936
1660.5435,66.8885,0.0446,1660.5435
1660.6934,68.6832,0.0597,1660.6934
1660.8433,69.693,0.0684,1660.8433
1660.9932,70.0646,0.0717,1660.9932
1661.1431,70.1918,0.0728,1661.1431
1661.293,70.0535,0.0716,1661.293
1661.4429,69.6121,0.0677,1661.4429
1661.5928,69.632,0.0679,1661.5928
1661.7427,70.8526,0.0788,1661.7427
1661.8926,72.0543,0.0898,1661.8926
1662.0425,71.7441,0.087,1662.0425
1662.1924,70.9378,0.0796,1662.1924
1662.3423,70.9683,0.0798,1662.3423
1662.4922,71.0095,0.0802,1662.4922
1662.6421,69.8328,0.0697,1662.6421
1662.792,68.0686,0.0544,1662.792
1662.9419,66.8478,0.0443,1662.9419
1663.0918,65.9211,0.0368,1663.0918
1663.2417,65.2346,0.0314,1663.2417
1663.3916,64.5228,0.0258,1663.3916
